product_id,product_title,rating,total_reviews,price,top_reviews
itm12ef5ea0212ed,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)",4.6,437,"₹84,895","5 Worth every penny Best in night photography READ MORE himanshu mehta Certified Buyer , Himmatnagar Feb, 2024 9662 2013 Permalink Report Abuse || 5 Terrific purchase Amazing Products 👏 🤩 READ MORE Narendra  Singh Certified Buyer , Jaipur Feb, 2024 2457 525 Permalink Report Abuse || 5 Super! Best mobile for photography Charging wise also good No issues at all. Giving my review after using it almost 50 days. READ MORE ROHITH CHINTA Certified Buyer , East Godavari Mar, 2024 3473 755 Permalink Report Abuse || 5 Must buy! Android King 🤴 All-rounder phone 📱 All in one 💯🎊 READ MORE Lakhan MEENA Certified Buyer , Lalsot Jan, 2024 4463 983 Permalink Report Abuse || 5 Terrific purchase What a fantastic mobile it is. Camera is the best, performance is the best,  look and feel is very rich. Display is Ultra HD. The best of best. READ MORE Flipkart Customer Certified Buyer , Shahjahanpur Feb, 2024 291 52 Permalink Report Abuse"
itm40a42309a03b1,"Samsung Galaxy S24 Ultra 5G (Titanium Violet, 256 GB)",4.6,437,"₹84,975","5 Worth every penny Best in night photography READ MORE himanshu mehta Certified Buyer , Himmatnagar Feb, 2024 9662 2013 Permalink Report Abuse || 5 Terrific purchase Amazing Products 👏 🤩 READ MORE Narendra  Singh Certified Buyer , Jaipur Feb, 2024 2457 525 Permalink Report Abuse || 5 Super! Best mobile for photography Charging wise also good No issues at all. Giving my review after using it almost 50 days. READ MORE ROHITH CHINTA Certified Buyer , East Godavari Mar, 2024 3473 755 Permalink Report Abuse || 5 Must buy! Android King 🤴 All-rounder phone 📱 All in one 💯🎊 READ MORE Lakhan MEENA Certified Buyer , Lalsot Jan, 2024 4463 983 Permalink Report Abuse || 5 Terrific purchase What a fantastic mobile it is. Camera is the best, performance is the best,  look and feel is very rich. Display is Ultra HD. The best of best. READ MORE Flipkart Customer Certified Buyer , Shahjahanpur Feb, 2024 291 52 Permalink Report Abuse"
itm566994e00dfc0,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",4.7,16,"₹1,23,499","5 Highly recommended Final boss in this year! 😤🔥 READ MORE Akash Gain Certified Buyer , Barasat 2 months ago 116 29 Permalink Report Abuse || 5 Must buy! Perfect Phone READ MORE Abhay Shukla Certified Buyer , Hyderabad 6 months ago 286 93 Permalink Report Abuse || 5 Great product Beast READ MORE Ashish Mehra Certified Buyer , Mahesana District 5 months ago 98 36 Permalink Report Abuse || 5 Perfect product! Switching to Samsung from iPhone 15 now seems to be worth it ! I was using iOS for the past 5 years and was getting bored of it. There are lot of great features that S25 ultra has and i will mention a few pros and cons. Pros: Performance: With Snapdragon elite it is a breeze multitasking and running any game or app. Connectivity: it manages to get signal reception even in secluded places. Camera: Portrait mode is really great. Video has improved too. Periscope zoom is  great. Built quality: ... READ MORE Vijaysarathy Phadte Certified Buyer , Old Goa 5 months ago 181 97 Permalink Report Abuse || 5 Wonderful Cameras Performance are too good READ MORE Vasudeo Patil Certified Buyer , Thane 3 months ago 4 0 Permalink Report Abuse"
itm9beb2f2beaa5e,"Samsung Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)",4.7,222,"₹1,23,499","5 Just wow! Overall Excellent phone READ MORE Sourav  Kumar Chanda Singh Gain Certified Buyer , Malkangiri 6 months ago 939 276 Permalink Report Abuse || 5 Terrific Excellent Product...I just loved it ❤️ READ MORE Khairul  Anam Certified Buyer , Thrissur 7 months ago 2020 634 Permalink Report Abuse || 5 Mind-blowing purchase 25 Ultra, you beauty! 🔥💯 READ MORE Pavan Kumar Certified Buyer , Bengaluru 3 months ago 62 12 Permalink Report Abuse || 5 Awesome Nice Mobile READ MORE Raghab Dash Certified Buyer , Phulabani 7 months ago 967 326 Permalink Report Abuse || 5 Mind-blowing purchase Totally worth it, just shifted from an iPhone, was worried that I won't like the interface but no, this phone feels great and very premium in your hands, loved the design and features and the performance it delivers will blow your mind READ MORE Kartik Sharma Certified Buyer , Parlakhemundi 7 months ago 258 78 Permalink Report Abuse"
itm413a5c3f30151,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)",4.7,222,"₹1,23,499","5 Mind-blowing purchase 25 Ultra, you beauty! 🔥💯 READ MORE Pavan Kumar Certified Buyer , Bengaluru 3 months ago 65 12 Permalink Report Abuse || 5 Just wow! Overall Excellent phone READ MORE Sourav  Kumar Chanda Singh Gain Certified Buyer , Malkangiri 6 months ago 943 278 Permalink Report Abuse || 5 Terrific Excellent Product...I just loved it ❤️ READ MORE Khairul  Anam Certified Buyer , Thrissur 7 months ago 2023 634 Permalink Report Abuse || 5 Awesome Nice Mobile READ MORE Raghab Dash Certified Buyer , Phulabani 7 months ago 967 326 Permalink Report Abuse || 5 Mind-blowing purchase Totally worth it, just shifted from an iPhone, was worried that I won't like the interface but no, this phone feels great and very premium in your hands, loved the design and features and the performance it delivers will blow your mind READ MORE Kartik Sharma Certified Buyer , Parlakhemundi 7 months ago 258 79 Permalink Report Abuse"
